Distance in m,Latitude in °,Longitude in °,Altitude in °,X in m,Y in m,Z in m,v_max_day in km/h,v_max_night in km/h,Station,Switch,Urban
,49.81089523,8.646095643,165.8424555,4077194.607,619973.3324,4849369.024,60,FALSE,FALSE,FALSE,TRUE
,49.8108942,8.646095453,165.8441112,4077194.697,619973.3322,4849368.951,60,FALSE,FALSE,FALSE,TRUE
,49.81089316,8.646095263,165.8456731,4077194.787,619973.3321,4849368.878,60,FALSE,FALSE,FALSE,TRUE
,49.81089213,8.646095073,165.8473803,4077194.877,619973.3319,4849368.805,60,FALSE,FALSE,FALSE,TRUE
,49.8108911,8.646094883,165.8490443,4077194.967,619973.3317,4849368.732,60,FALSE,FALSE,FALSE,TRUE
,49.81089006,8.646094693,165.8506592,4077195.057,619973.3316,4849368.659,60,FALSE,FALSE,FALSE,TRUE
,49.81088902,8.646094503,165.852218,4077195.147,619973.3315,4849368.586,60,FALSE,FALSE,FALSE,TRUE
,49.81088799,8.646094313,165.8539196,4077195.237,619973.3314,4849368.513,60,FALSE,FALSE,FALSE,TRUE
,49.81088695,8.646094122,165.8555188,4077195.328,619973.3312,4849368.439,60,FALSE,FALSE,FALSE,TRUE
,49.81088591,8.64609393,165.857117,4077195.418,619973.331,4849368.366,60,FALSE,FALSE,FALSE,TRUE
,49.81088487,8.646093741,165.8588151,4077195.509,619973.331,4849368.293,60,FALSE,FALSE,FALSE,TRUE
,49.81088383,8.646093551,165.8604165,4077195.599,619973.3309,4849368.219,60,FALSE,FALSE,FALSE,TRUE
,49.81088279,8.646093361,165.8621196,4077195.69,619973.3308,4849368.146,60,FALSE,FALSE,FALSE,TRUE
,49.81088175,8.64609317,165.8637188,4077195.78,619973.3307,4849368.072,60,FALSE,FALSE,FALSE,TRUE
,49.81088071,8.646092981,165.8652266,4077195.871,619973.3307,4849367.999,60,FALSE,FALSE,FALSE,TRUE
,49.81087966,8.646092788,165.8669377,4077195.962,619973.3305,4849367.925,60,FALSE,FALSE,FALSE,TRUE
,49.81087862,8.646092597,165.8685392,4077196.052,619973.3304,4849367.851,60,FALSE,FALSE,FALSE,TRUE
,49.81087757,8.646092406,165.870237,4077196.143,619973.3303,4849367.778,60,FALSE,FALSE,FALSE,TRUE
